Poverty line,Year,World (Observed),World,East Asia & Pacific (Observed),East Asia & Pacific,Europe & Central Asia (Observed),Europe & Central Asia,Latin America & Caribbean (Observed),Latin America & Caribbean,"Middle East, North Africa, Afghanistan & Pakistan (Observed)","Middle East, North Africa, Afghanistan & Pakistan",North America (Observed),North America,South Asia (Observed),South Asia,Sub-Saharan Africa (Observed),Sub-Saharan Africa,Eastern & Southern Africa (Observed),Eastern & Southern Africa,Western & Central Africa (Observed),Western & Central Africa
$3.00 (2021 PPP),2000,36.25918591687293,NA,46.7636697885879,NA,7.594223213789121,NA,18.0999353481222,NA,23.828431660983256,NA,0.6081961581047914,NA,NA,46.097415317061355,62.47113935939891,NA,63.09681936680218,NA,NA,61.54694566969329
$3.00 (2021 PPP),2001,35.310361315272786,NA,44.24073349729604,NA,6.914844033266464,NA,17.894844467237032,NA,24.576762807094493,24.576762807094493,0.7584969355976483,NA,NA,46.02016676354885,61.299489398374185,NA,62.16352850331953,NA,60.02592908980161,NA
$3.00 (2021 PPP),2002,33.80712107179626,NA,40.243457181925045,NA,6.157926490310213,NA,17.102577865060294,NA,NA,24.134737596755148,0.7094033996778725,NA,45.971602582731855,NA,60.91379663075263,NA,63.04812923216217,NA,57.774251512671846,NA
$3.00 (2021 PPP),2003,32.2295736258571,NA,36.4691936276294,NA,5.942463712835765,NA,16.57443389163254,NA,22.185087796589485,NA,0.8410802971220752,NA,45.581041699420645,NA,59.94336210257488,NA,62.21696189257968,NA,56.60547751828771,NA
$3.00 (2021 PPP),2004,30.324294155587978,NA,33.06724864849956,NA,5.095433332363942,NA,15.279132876012028,NA,19.88038473061554,NA,0.8676295039023287,NA,44.982338554279785,NA,57.04315263903692,NA,58.76997120224653,NA,54.512741837152404,NA
$3.00 (2021 PPP),2005,28.3695119510183,NA,28.998013899758572,NA,5.022952162873665,NA,14.234387088056755,NA,18.774156864474563,NA,0.8540098144010343,NA,43.34198465472776,NA,55.48054487919942,NA,56.865457962405245,NA,53.454820818705706,NA
$3.00 (2021 PPP),2006,26.983027285439942,NA,27.838580368953814,NA,4.407804785471652,NA,12.00737377811268,NA,17.576648917530193,NA,0.8595478528478303,NA,40.71478744046388,NA,53.97946255025563,NA,55.06569318780241,NA,52.39310553068304,52.39310553068304
$3.00 (2021 PPP),2007,25.313197363910962,NA,25.17209731868315,NA,4.030531491849552,NA,10.792779926636847,NA,16.67093399037695,NA,0.8336344705764035,NA,38.10452748212773,NA,52.98034496069949,NA,53.99427013127398,NA,NA,51.50151607212424
$3.00 (2021 PPP),2008,24.132983890572586,NA,23.489568957441925,NA,3.7208245234922046,NA,9.92594331596348,NA,14.645376494176999,NA,0.9020429691637009,NA,36.83387153252152,NA,51.62160148559478,NA,52.979028358425715,NA,49.64379585745516,NA
$3.00 (2021 PPP),2009,23.04694017202462,NA,21.461059911900396,NA,3.7304687602182542,NA,9.50607056714576,NA,15.199910015004939,NA,0.7977323528401075,NA,34.60396281878908,NA,51.09729317358289,NA,52.736649930766724,NA,48.710025118746984,NA
$3.00 (2021 PPP),2010,20.982952643511993,NA,18.844729387136553,NA,3.751467236535313,NA,8.462658516922279,NA,13.340643028399532,NA,0.9321858379114636,NA,30.393018861438055,NA,49.49810078914234,NA,51.65140209619865,NA,46.36405982756347,NA
$3.00 (2021 PPP),2011,19.18545327806632,NA,15.510420263800661,NA,3.621213892976071,NA,7.722187998809689,NA,12.95636526833383,NA,0.8894900697247965,NA,27.545637788847944,NA,48.527336953936896,NA,50.83975769783127,NA,45.16635365327312,NA
$3.00 (2021 PPP),2012,17.897312504174867,NA,13.456937365782451,NA,3.6321106240240812,NA,7.370715295390267,NA,12.270913265110059,NA,0.896797254217508,NA,25.229635149308205,NA,47.347461359248726,NA,49.94773172412002,NA,43.57141849118737,NA
$3.00 (2021 PPP),2013,15.551213683933787,NA,9.096799082695776,NA,1.0983329895704421,NA,6.69193891429138,NA,11.603502503344071,NA,0.9050225346316738,NA,22.782271995721405,NA,46.38284600202394,NA,49.333833718452944,NA,42.09676865437906,NA
$3.00 (2021 PPP),2014,14.56765771681034,NA,7.843628725372115,NA,1.194056202040292,NA,6.330786074204672,NA,11.462888538318026,NA,1.0964028791913847,NA,20.026957098767596,20.026957098767596,45.7200283834327,NA,49.00591303268313,NA,40.94879035375188,NA
$3.00 (2021 PPP),2015,13.437223693869857,NA,6.1312685877575985,NA,1.192148409581938,NA,5.882962935942391,NA,11.304115966415893,NA,1.023927550440348,NA,NA,17.126755704164417,45.47524099873401,NA,49.115850013491155,NA,40.189062446836246,NA
$3.00 (2021 PPP),2016,12.597189814365676,NA,5.077991566298609,NA,0.9752097307135159,NA,6.05313033034602,NA,11.297637808811244,NA,0.9751880986963732,NA,NA,14.368073097174957,45.33042679194278,NA,49.74726848509771,NA,38.91921814783702,NA
$3.00 (2021 PPP),2017,11.854416805544076,NA,4.197288064019166,NA,0.9780460902020369,NA,5.983460130339755,NA,11.04085740398062,NA,1.0752505504266097,NA,NA,11.946312930964284,45.047174646610074,NA,50.581040723859296,NA,37.013296929729975,NA
$3.00 (2021 PPP),2018,11.175927850951872,11.175927850951872,3.3167213556457695,NA,0.8205132948086407,NA,5.899037669040347,NA,11.040277838371178,NA,0.9187901899513904,NA,NA,9.943727334598282,44.6255990412396,NA,51.09392318592947,51.09392318592947,35.216246812773086,NA
