perc,1990–2000,1990–2008,1990–2010,1990–2019,1990–2026,2000–2010,2010–2019,2019–2026
31,1.8452231498854117,2.4807996826832084,2.6146220632067507,2.948144533213681,2.750261393206446,3.3840209765280895,3.689305577673527,1.9304598131764716
32,1.824925095961085,2.468376664524655,2.6062265927278143,2.945352341686584,2.748672422082234,3.3875280894945443,3.6989651171505153,1.9338556122927872
33,1.8040094256155577,2.4572462236003862,2.5990704954717394,2.9425989731316,2.7477654319154285,3.3941315653279207,3.7059955901535124,1.9405979040198602
34,1.7768267119610068,2.4453316897331665,2.5910906242924985,2.9401179958438037,2.747165798338503,3.405354536623989,3.715734377068927,1.947792408673687
35,1.7497293705014607,2.4358847159151464,2.5862884910126493,2.938166639632839,2.7455070516001805,3.4228476115238395,3.7201180810110377,1.9473459011791676
36,1.7353359315233554,2.4338278567233878,2.5864167237041475,2.940138271274594,2.7464645375948127,3.437497515884938,3.726186154764476,1.9441019266357182
37,1.7103258445773144,2.429780351441676,2.5861632323057764,2.9392154274826465,2.7463034800137267,3.462000620034239,3.723775861209025,1.9470968404996298
38,1.6804480165086448,2.4248760831742637,2.585533067526509,2.9377870713925085,2.7453720356816746,3.490618118544373,3.7205737466502837,1.9482240305939351
39,1.65636048232689,2.4205887835720206,2.5840327951442066,2.9378271032114034,2.745522000813405,3.5117051079615242,3.7240366766940634,1.9488294337359824
40,1.6427396897500008,2.422197078714425,2.5891803689490724,2.940663835675739,2.748604413732088,3.535621048148143,3.721738206179441,1.95292966567982
41,1.624815307447914,2.4238482201047025,2.593119609831751,2.94313065036593,2.751785583187866,3.5614239122155875,3.7209329626641057,1.9590703048787457
42,1.6017568975171477,2.425322557396214,2.6003482285554678,2.9448671489005216,2.754267876503791,3.5989395595937874,3.710464749667308,1.9646423194316216
43,1.5855500523442398,2.4307487503198075,2.6061036137545797,2.9469515553135226,2.757260877212879,3.6266571751649184,3.704391425444508,1.9713994965102117
44,1.5654641512397698,2.433684940666851,2.611361553122741,2.949980471232615,2.7593213266047787,3.6572589550057106,3.702466955921224,1.9694477274323152
45,1.542821605160719,2.4393792572744473,2.6167779868529926,2.952702661424811,2.761498517225866,3.6907343685452654,3.6992019382510755,1.9693670626873807
46,1.5301868717942166,2.444494738097246,2.6249206166628967,2.9562404795215955,2.7648898297442095,3.719654361531577,3.6925068414298172,1.9721514235236084
47,1.513278425665512,2.4510419529604452,2.631406368171261,2.959429080359912,2.767491779093466,3.74953431067701,3.688368440779137,1.9723229595610452
48,1.4967887692828352,2.456034838572356,2.636676515651517,2.961561085308629,2.7689675488256165,3.776564262020199,3.6835267956577677,1.9710800405388498
49,1.4821898764969288,2.4613670180779557,2.6424315386356136,2.9642181140122106,2.773054886903341,3.802673200774299,3.679299392626871,1.98109294602374
50,1.459103400491161,2.4645941559839506,2.645647362103709,2.963435253538323,2.7749714228670603,3.832191323716257,3.669630567837466,1.994192695800399
